"","Correlation","Year","Cohort","Relative_Year","Relative_Final_Year","Final_Year","Stabilised.95","Stabilised.99"
"1927...353",NA,"1927",1575,352,64,1991,NA,NA
"1927...760",NA,"1927",1585,342,64,1991,NA,NA
"1927...1157",1,"1927",1595,332,64,1991,TRUE,TRUE
"1927...1544",0.999957445660041,"1927",1605,322,64,1991,TRUE,TRUE
"1927...1921",0.998746295569286,"1927",1615,312,64,1991,TRUE,TRUE
"1927...2288",0.999717496876726,"1927",1625,302,64,1991,TRUE,TRUE
"1927...2645",1,"1927",1635,292,64,1991,TRUE,TRUE
"1927...2992",0.999442077880361,"1927",1645,282,64,1991,TRUE,TRUE
"1927...3329",1,"1927",1655,272,64,1991,TRUE,TRUE
"1927...3656",0.995307347639738,"1927",1665,262,64,1991,TRUE,TRUE
"1927...3973",0.997053669784762,"1927",1675,252,64,1991,TRUE,TRUE
"1927...4280",1,"1927",1685,242,64,1991,TRUE,TRUE
"1927...4577",0.987096201100359,"1927",1695,232,64,1991,TRUE,TRUE
"1927...4864",0.995107449849734,"1927",1705,222,64,1991,TRUE,TRUE
"1927...5141",0.999805548093737,"1927",1715,212,64,1991,TRUE,TRUE
"1927...5408",0.998415449243875,"1927",1725,202,64,1991,TRUE,TRUE
"1927...5665",0.947840275705607,"1927",1735,192,64,1991,FALSE,TRUE
"1927...5912",0.975251118852854,"1927",1745,182,64,1991,TRUE,TRUE
"1927...6149",0.987660457719026,"1927",1755,172,64,1991,TRUE,TRUE
"1927...6376",0.970635520356339,"1927",1765,162,64,1991,TRUE,TRUE
"1927...6593",0.946285210776673,"1927",1775,152,64,1991,FALSE,TRUE
"1927...6800",0.983827086242658,"1927",1785,142,64,1991,TRUE,TRUE
"1927...6997",0.989758459175369,"1927",1795,132,64,1991,TRUE,TRUE
"1927...7184",0.937819563006643,"1927",1805,122,64,1991,FALSE,TRUE
"1927...7361",0.960775299001762,"1927",1815,112,64,1991,TRUE,TRUE
"1927...7528",0.949334550328279,"1927",1825,102,64,1991,FALSE,TRUE
"1927...7685",0.852552142552465,"1927",1835,92,64,1991,FALSE,FALSE
"1927...7832",0.795668191661195,"1927",1845,82,64,1991,FALSE,FALSE
"1927...7969",0.709042396020989,"1927",1855,72,64,1991,FALSE,FALSE
"1927...8096",0.567735514747197,"1927",1865,62,64,1991,FALSE,FALSE
"1927...8213",0.557405497609242,"1927",1875,52,64,1991,FALSE,FALSE
"1927...8320",0.655092075708262,"1927",1885,42,64,1991,FALSE,FALSE
"1927...8417",0.328091486556931,"1927",1895,32,64,1991,FALSE,FALSE
"1927...8504",0.139635652570919,"1927",1905,22,64,1991,FALSE,FALSE
"1927...8581",0.33280293902332,"1927",1915,12,64,1991,FALSE,FALSE
"1927...8648",NA,"1927",1925,2,64,1991,NA,NA
