"","Correlation","Year","Cohort","Relative_Year","Relative_Final_Year","Final_Year","Stabilised.95","Stabilised.99"
"1927...350",NA,"1927",1578,349,64,1991,NA,NA
"1927...754",0.999751546182107,"1927",1588,339,64,1991,TRUE,TRUE
"1927...1148",NA,"1927",1598,329,64,1991,NA,NA
"1927...1532",0.999947590058867,"1927",1608,319,64,1991,TRUE,TRUE
"1927...1906",1,"1927",1618,309,64,1991,TRUE,TRUE
"1927...2270",NA,"1927",1628,299,64,1991,NA,NA
"1927...2624",0.989481847614714,"1927",1638,289,64,1991,TRUE,FALSE
"1927...2968",0.998651605210831,"1927",1648,279,64,1991,TRUE,TRUE
"1927...3302",0.994733612289969,"1927",1658,269,64,1991,TRUE,TRUE
"1927...3626",0.98482596792529,"1927",1668,259,64,1991,TRUE,FALSE
"1927...3940",0.985379696314684,"1927",1678,249,64,1991,TRUE,FALSE
"1927...4244",0.995171840512872,"1927",1688,239,64,1991,TRUE,TRUE
"1927...4538",0.985344353780974,"1927",1698,229,64,1991,TRUE,FALSE
"1927...4822",0.989616906959854,"1927",1708,219,64,1991,TRUE,FALSE
"1927...5096",0.868789027745885,"1927",1718,209,64,1991,FALSE,FALSE
"1927...5360",0.99423211709906,"1927",1728,199,64,1991,TRUE,TRUE
"1927...5614",0.985862207455979,"1927",1738,189,64,1991,TRUE,FALSE
"1927...5858",0.937530117556653,"1927",1748,179,64,1991,FALSE,FALSE
"1927...6092",0.993295204350452,"1927",1758,169,64,1991,TRUE,TRUE
"1927...6316",0.961513250910147,"1927",1768,159,64,1991,TRUE,FALSE
"1927...6530",0.979327984253947,"1927",1778,149,64,1991,TRUE,FALSE
"1927...6734",0.934860775706174,"1927",1788,139,64,1991,FALSE,FALSE
"1927...6928",0.898438533114997,"1927",1798,129,64,1991,FALSE,FALSE
"1927...7112",0.951771165127908,"1927",1808,119,64,1991,TRUE,FALSE
"1927...7286",0.770836496450374,"1927",1818,109,64,1991,FALSE,FALSE
"1927...7450",0.865854201781887,"1927",1828,99,64,1991,FALSE,FALSE
"1927...7604",0.911635561229408,"1927",1838,89,64,1991,FALSE,FALSE
"1927...7748",0.792755427554212,"1927",1848,79,64,1991,FALSE,FALSE
"1927...7882",0.699001744708595,"1927",1858,69,64,1991,FALSE,FALSE
"1927...8006",0.559529865264906,"1927",1868,59,64,1991,FALSE,FALSE
"1927...8120",0.668544360849109,"1927",1878,49,64,1991,FALSE,FALSE
"1927...8224",0.673652740398591,"1927",1888,39,64,1991,FALSE,FALSE
"1927...8318",0.501471324421476,"1927",1898,29,64,1991,FALSE,FALSE
"1927...8402",0.252652935022801,"1927",1908,19,64,1991,FALSE,FALSE
"1927...8476",NA,"1927",1918,9,64,1991,NA,NA
