IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000000038,4.31442241968558,0,0,0,1
P0000000039,NA,NA,NA,NA,NA
P0000000040,NA,NA,NA,NA,NA
P0000000041,NA,NA,NA,NA,NA
P0000000042,NA,NA,NA,NA,NA
P0000000043,NA,NA,NA,NA,NA
P0000000044,NA,NA,NA,NA,NA
P0000000045,0.10663021189337,0,0,0,1
P0000000046,NA,NA,NA,NA,NA
P0000000047,NA,NA,NA,NA,NA
P0000000048,NA,NA,NA,NA,NA
P0000000049,NA,NA,NA,NA,NA
P0000000050,NA,NA,NA,NA,NA
P0000000051,NA,NA,NA,NA,NA
P0000000052,NA,NA,NA,NA,NA
P0000000053,NA,NA,NA,NA,NA
P0000000054,NA,NA,NA,NA,NA
P0000000055,NA,NA,NA,NA,NA
P0000000056,NA,NA,NA,NA,NA
P0000000057,NA,NA,NA,NA,NA
P0000000058,NA,NA,NA,NA,NA
P0000000058,NA,NA,NA,NA,NA
P0000000058,NA,NA,NA,NA,NA
P0000000058,NA,NA,NA,NA,NA
P0000000059,49.6185919343814,11,11,NA,1
P0000000060,24.0874914559125,2,2,NA,1
P0000000061,79.8168147641832,9,9,NA,1
P0000000062,NA,NA,NA,NA,NA
P0000000063,NA,NA,NA,NA,NA
P0000000064,81.7252221462748,0,0,0,1
P0000000065,NA,NA,NA,NA,NA
P0000000066,NA,NA,NA,NA,NA
P0000000067,NA,NA,NA,NA,NA
P0000000068,NA,NA,NA,NA,NA
P0000000069,47.7265892002734,3,3,0,1
P0000000070,NA,NA,NA,NA,NA
P0000000071,83.8140806561859,2,2,0,1
P0000000072,43.4613807245386,4,3,NA,1
P0000000073,NA,NA,NA,NA,NA
P0000000074,NA,NA,NA,NA,NA
P0000000075,NA,NA,NA,NA,NA
P0000000076,0.806561859193438,0,0,0,1
P0000000078,NA,NA,NA,NA,NA
P0000000079,NA,NA,NA,NA,NA
P0000000080,NA,NA,NA,NA,NA
P0000000081,66.7341079972659,9,7,NA,1
P0000000082,36.596035543404,9,7,NA,1
P0000000083,NA,NA,NA,NA,NA
P0000000085,NA,NA,NA,NA,NA
P0000000086,NA,NA,NA,NA,NA
P0000000087,NA,NA,NA,NA,NA
P0000000088,1.57758031442242,0,0,0,1
P0000000089,0.101161995898838,0,0,0,1
P0000000090,NA,NA,NA,NA,NA
P0000000091,NA,NA,NA,NA,NA
P0000000092,82.2802460697198,0,0,0,1
P0000000094,86.2474367737526,3,3,0,1
P0000000094,86.2474367737526,3,3,0,1
P0000000094,86.2474367737526,3,3,0,1
P0000000094,86.2474367737526,3,3,0,1
P0000000096,NA,NA,NA,NA,NA
