"","X","ID","Relative_Year","Contribution","Cohort","Year","Proportional","Sex","Total_Genetic","cohort.10y","Parish"
"416",416,"P0000013997","A415",0,1575,1990,0,"Male","3701","1575","Elm"
"818",818,"P0000030926","A400",0,1590,1990,0,"Male","3701","1585","Elm"
"1215",1230,"P0000013872","A395",0,1595,1990,0,"Male","3701","1595","Elm"
"1612",1647,"P0000013885","A395",0,1595,1990,0,"Male","3701","1595","Elm"
"2009",2064,"P0000039763","A395",0,1595,1990,0,"Male","3701","1595","Elm"
"2406",2481,"P0000041373","A395",0,1595,1990,0,"Male","3701","1595","Elm"
"2803",2898,"P0000046908","A395",3.13568115234375,1595,1990,0.000847252405388746,"Male","3701","1595","Elm"
"3199",3314,"P0000025188","A394",10.6367797851562,1596,1990,0.00287402858285766,"Male","3701","1595","Elm"
"3595",3731,"P0000025191","A394",0,1596,1990,0,"Male","3701","1595","Elm"
"3991",4148,"P0000030295","A394",0,1596,1990,0,"Male","3701","1595","Elm"
"4387",4565,"P0000030930","A394",9.18603515625,1596,1990,0.00248204138239665,"Male","3701","1595","Elm"
"4783",4982,"P0000032409","A394",0,1596,1990,0,"Male","3701","1595","Elm"
"5179",5399,"P0000034522","A394",1.482666015625,1596,1990,0.000400612271176709,"Male","3701","1595","Elm"
"5574",5815,"P0000013901","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"5969",6232,"P0000013907","A393",7.52056884765625,1597,1990,0.00203203697585957,"Male","3701","1595","Elm"
"6364",6649,"P0000013911","A393",2.654296875,1597,1990,0.000717183700351256,"Male","3701","1595","Elm"
"6759",7066,"P0000013927","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"7154",7483,"P0000028553","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"7549",7900,"P0000030304","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"7944",8317,"P0000030951","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"8339",8734,"P0000034460","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"8734",9151,"P0000035913","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"9129",9568,"P0000036859","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"9524",9985,"P0000039765","A393",0,1597,1990,0,"Male","3701","1595","Elm"
"9918",10401,"P0000013880","A392",0,1598,1990,0,"Male","3701","1595","Elm"
"10312",10818,"P0000032378","A392",0,1598,1990,0,"Male","3701","1595","Elm"
"10706",11235,"P0000034525","A392",1.322998046875,1598,1990,0.000357470426067279,"Male","3701","1595","Elm"
"11100",11652,"P0000041366","A392",0,1598,1990,0,"Male","3701","1595","Elm"
"11493",12068,"P0000013869","A391",0,1599,1990,0,"Male","3701","1595","Elm"
"11886",12485,"P0000013921","A391",0,1599,1990,0,"Male","3701","1595","Elm"
"12279",12902,"P0000038157","A391",0,1599,1990,0,"Male","3701","1595","Elm"
"12672",13319,"P0000040506","A391",0,1599,1990,0,"Male","3701","1595","Elm"
"13064",13735,"P0000025193","A390",19.4197998046875,1600,1990,0.00524717638602743,"Male","3701","1595","Elm"
"13456",14152,"P0000030305","A390",0,1600,1990,0,"Male","3701","1595","Elm"
"13848",14569,"P0000030952","A390",0,1600,1990,0,"Male","3701","1595","Elm"
"14240",14986,"P0000032400","A390",0.0400390625,1600,1990,1.08184443393677e-05,"Male","3701","1595","Elm"
"14631",15402,"P0000032379","A389",14.6300048828125,1601,1990,0.00395298699886855,"Male","3701","1595","Elm"
"15022",15819,"P0000032392","A389",0,1601,1990,0,"Male","3701","1595","Elm"
"15413",16236,"P0000041188","A389",0,1601,1990,0,"Male","3701","1595","Elm"
"15803",16652,"P0000028554","A388",0,1602,1990,0,"Male","3701","1595","Elm"
"16193",17069,"P0000030961","A388",0.456298828125,1602,1990,0.00012329068579438,"Male","3701","1595","Elm"
"16583",17486,"P0000034527","A388",0,1602,1990,0,"Male","3701","1595","Elm"
"16973",17903,"P0000038165","A388",0,1602,1990,0,"Male","3701","1595","Elm"
"17363",18320,"P0000041367","A388",0,1602,1990,0,"Male","3701","1595","Elm"
"17752",18736,"P0000013898","A387",0,1603,1990,0,"Male","3701","1595","Elm"
"18141",19153,"P0000013912","A387",5.8551025390625,1603,1990,0.00158203256932248,"Male","3701","1595","Elm"
"18530",19570,"P0000030306","A387",0,1603,1990,0,"Male","3701","1595","Elm"
